IX,4.375
LC,5.203
RS,4.297
XT,14.530999999999999
CL,4.672
DS,5.938
XP,5.938
CL,3.875
XP,4.375
CJ,3.281
ET,5.313
GT,19.203
CX,5.578
ET,5.953
GT,15.891
CX,3.406
CB,4.89
HE,5.016
CB,3.219
HE,4.282
TI,6.109
EH,4.516
TI,4.172
QT,5.156
MN,2.953
QT,3.187
MN,2.547
OI,4.219
HL,7.438
OI,3.485
HR,2.625
IB,5.343
HR,1.781
IB,3.109
EW,8.484
HS,5.031
NP,3.609
HW,6.64
XJ,15.797
HW,5.953
JG,18.657
XJ,8.859
JG,5.969
OW,21.578
GN,12.204
OW,6.625
GN,6.578
OR,5.953
HW,13.922
BQ,15.593
OR,6.0
TO,11.266
DA,6.156
BQ,7.187
LO,22.39
DA,3.672
TO,3.719
LO,5.062
BQ,3.5
ON,4.25
PB,6.922
BV,3.828
PT,6.687
BV,3.594
HQ,7.469
VL,5.047
NT,2.796
QJ,8.359
AX,3.609
NT,2.235
IB,3.219
RH,2.906
HD,6.282
HN,6.328
EB,5.531
RD,5.313
EB,5.14
VJ,5.609
RD,2.766
AM,5.297
VJ,5.25
NE,5.953
EN,5.0
BC,3.047
AM,6.219
NF,12.329
EN,3.469
RH,2.985
NF,17.359
CX,4.594
PA,5.172
ND,5.922
PA,3.688
JS,5.312
DL,7.328
SO,4.844
DL,5.812
TN,2.219
ND,5.813
EG,4.891
OJ,4.672
WE,6.078
TN,1.625
EG,4.203
RF,5.578
LO,5.266
IR,4.609
PJ,3.219
MR,5.469
MG,7.047
OP,3.453
WI,5.156
PJ,1.891
OP,6.14
TO,3.875
GW,7.109
IR,3.391
WP,12.359
GW,3.921
DP,10.438
IS,8.25
WP,5.297
DP,4.031
FO,7.031
IS,4.0
WP,4.703
FO,4.906
QO,4.031
ED,2.906
IL,3.61
QO,4.547
IL,3.031
ED,1.422
IR,6.641
FA,18.188000000000002
OX,9.953
HM,6.25
HM,6.25
DQ,6.578
DQ,6.578
NJ,6.14
MO,3.968
NJ,7.953
PX,12.062
PX,12.062
QE,17.047
TA,3.656
TA,3.656
QE,10.547
VF,5.516
RO,4.875
AO,14.859
GW,17.313
AH,3.485
PI,3.094
AO,4.969
AH,3.062
XO,5.64
VH,8.0
AL,3.157
LX,4.516
XC,4.953
IQ,6.469
LX,3.75
DI,4.813
AL,2.562
IQ,3.609
DI,3.547
FM,5.875
XM,8.625
CB,3.532
FM,3.828
JS,7.14
WH,6.563
FG,3.234
FO,9.625
SJ,6.172
HJ,16.594
GC,10.937
FG,3.484
SJ,6.594
LF,3.921
HJ,15.0
LF,1.89
BS,10.968
BC,2.906
DQ,21.64
AW,7.406
IE,3.719
AH,3.906
AW,2.719
MC,16.328
VO,2.75
MC,3.281
VO,1.078
XV,15.421
FO,5.906
XV,4.609
JN,4.094
SV,6.89
SF,5.531
NF,6.25
NF,6.25
SF,4.812
AD,5.047
WJ,5.563
IT,4.562
EB,6.89
AD,3.656
LO,7.672
AH,3.234
AD,6.422
WJ,3.219
HI,3.438
IT,2.937
OJ,5.766
QC,10.032
DE,3.14
HI,2.594
QC,4.328
BX,4.781
DE,1.11
BX,2.782
TV,4.234
JB,5.734
TV,3.187
BP,8.094
JB,7.0
GA,6.703
CI,1.718
NH,6.125
BP,4.344
CI,1.172
GA,7.578
IB,3.625
LE,7.531
NH,7.515
FO,5.406
LE,4.562
TS,3.734
BH,7.125
PN,3.75
TR,19.218
QN,5.078
MW,13.016
QO,4.125
AE,14.703
QV,19.688000000000002
MP,4.0
NW,6.141
MW,4.047
BA,3.578
QN,3.032
DO,19.311999999999998
HN,19.266
ME,2.954
AE,5.5
OW,19.484
JD,3.61
JA,4.516
QV,18.922
EL,6.625
JA,3.078
FS,6.688
RJ,12.328
BL,4.219
EL,4.922
HN,11.688
WH,6.14
WM,4.797
ME,2.578
RI,6.734
EV,6.141
OC,18.484
GC,13.156
RP,4.922
NW,6.047
IW,9.875
VB,2.985
WM,10.765
PJ,2.5
MG,8.062
SG,5.141
RP,4.188
NI,4.281
MV,5.875
MC,9.703
HQ,5.469
RW,3.89
MH,6.984
BA,4.047
HS,3.75
RE,5.484
WE,5.984
WP,15.719000000000001
VX,20.656
GS,6.953
BL,3.578
QM,17.0
FH,3.703
BJ,3.062
MS,9.14
CG,9.063
BT,3.594
VQ,18.234
TW,6.796
GS,4.563
FG,3.171
IW,7.344
HJ,18.936999999999998
OB,7.359
DG,15.405999999999999
MH,7.375
GM,4.047
TW,3.593
MC,5.359
SJ,5.422
TL,7.484
IP,4.016
TR,11.532
QE,15.985
SA,4.609
SG,5.281
BG,29.625
WJ,6.578
BQ,18.311999999999998
BS,6.031
GJ,7.563
DG,32.5
TL,4.266
MB,2.718
OH,13.922
SA,4.079
OH,4.421
PQ,5.406
JW,3.422
DP,6.86
VB,3.735
AQ,1.437
PX,7.906
HN,9.093
PC,8.984
IP,3.11
NI,2.843
OV,4.765
XJ,17.406
JW,4.438
LI,4.266
IG,3.468
GM,5.297
GJ,17.844
PH,17.843
MB,2.078
WG,16.75
OM,2.953
PH,8.859
GB,9.125
BQ,9.047
PL,6.859
PC,6.14
DG,24.25
MT,4.859
DI,5.375
TW,4.063
XW,13.922
PL,5.563
GF,4.032
EA,4.203
XW,3.672
XJ,8.016
HN,7.75
QE,8.125
BH,8.829
IA,6.25
OC,9.312
OV,1.719
NV,6.14
CA,5.859
EA,5.36
CA,2.969
QJ,18.156
LA,2.5
IA,3.922
XW,4.828
TV,4.25
SJ,4.672
MG,3.797
PE,11.359
LI,4.391
VW,4.391
IG,3.484
MG,3.734
DT,3.844
QB,14.453
DC,4.828
LF,3.219
PE,5.75
TS,3.75
WF,6.813
LA,2.672
DA,5.063
WR,4.141
VW,5.015
RA,5.0
WA,18.5
WG,7.547
LN,19.5
IX,3.875
NF,18.094
SV,5.312
CT,6.734
WF,5.438
JX,16.969
JO,5.828
FV,7.625
QW,9.0
QC,5.516
GB,9.157
NV,5.594
ON,4.063
WR,3.938
PO,3.61
WA,4.797
CT,3.5
GJ,9.453
OM,3.781
PS,5.532
QI,7.969
JX,4.391
BG,6.719
OC,9.109
RJ,7.765
WV,4.047
XH,5.578
JO,6.281
RC,5.438
FV,6.25
OD,18.094
XH,7.109
EM,2.797
LD,3.625
RC,4.078
OL,6.343
QI,6.875
TP,3.922
PX,6.796
RM,5.766
QX,11.125
PO,2.984
LA,2.906
JG,20.811999999999998
LM,6.25
OB,4.719
BV,4.157
